stage-name,dow,bname,gname,gender,dob,dod,role type,picture pointer,notes,award,,,,
Kay Ballard,1956-1980,Balotta,Catherine (Kaye),F,1926,199x,R:comedienne,Am,,,,,,
Martin Balsam,1954-1982,Balsam,Martin,M,1919,199x,R:quiet, comfortable,Am,,,,,
Anne Bancroft,1952-,Italiano,Anna Maria,F,1931,199x,R:warm, competent,Un,,,,,
George Bancroft,1921-1942,Bancroft,George,M,1882,1956,R:burly,Am,,,,,,
Antonio Banderas,,,,M,[1],199x,RU:,Un,,,,,,
Victor Banerjee,,,,M,[1],199x,RU:,Un,,,,,,
Donatas Banionis,,,,M,[1],199x,RU:,Un,,,,,,
Alex Bank,,,,M,[1],199x,RU:,Un,,,,,,
Tallulah Bankhead,1918-1965,Bankhead,Tallulah,F,1902,1968,R:theatrical,Am,,,,,,
Aaron Banks,,,,M,[1],199x,RU:,Un,,,,,,
Leslie Banks,1932-1950,Banks,Leslie,M,1890,1952,R:tough sophisticate,Br,,,,,,
Vilma Banky,1920-1933,Lonchit,Vilma,F,1902,199x,R:silent,Os-Hu,,,,,,
Ian Bannen,1955-1983,Bannen,Ian,M,1928,199x,R:effective,Br,,,,,,
John Banner,1943-1971,Banner,John,M,1910,1973,R:German sergeant,Po-Am,,,,,,
Theda Bara,1915-1926,Goodman,Theodosia,F,1890,1955,R:vamp,Am,,,,,,
Olga Baraclanova,,,,F,[1],199x,RU:,Un,,,,,,
Christine Baranski,,,,F,[1],199x,RU:,Un,,,,,,
Vanna Barba,1992,Barba,Vanna,F,1967,199x,R:sexy,Gr,,,,,,
Adrienne Barbeau,1977-1982,Barbeau,Adrienne,F,1949,199x,R:lead,Am,,,,,,
George Barbier,1924-1945,Barbier,George,M,1865,1945,R:blustery kind man,Am,,,,,,
Joyce Barbour,1936,,,F,[1,6],199x,RU:,Un,,,,,
Brigitte Bardot,1954-1973,Javal,Camille,F,1933,199x,R:sexy,Fr,,,,,,
Mijanou Bardot,1960,Javal,Mijanou,F,,199x,R:sexy,Fr,,,,,,
Sonny Barger,,,,M,[1],199x,RU:,Un,,,,,,
Lynn Bari,1933-1962,Fisher,Marjorie,F,1915,1989,R:pert,Am,,,,,,
Norah Baring,1928-1933,Baring,Norah,F,1907,199x,R:lead,Br,,,,,,
Erik Barker,1937-1970,Barker,Erik,M,1912,199x,R:character,Br,,,,,,
Ronnie Barker,1963-1979,Barker,Ronnie,M,1929,199x,R:portly,Br,,,,,,
Lex Barker,1949-1952,Barker,Alexander,M,,199x,R:ape man,Am,,,,,,
Ellen Barkin,1982-1989,Barkin,Ellen,F,1954,199x,R:sexy wives,Am,,,,,,
Marcie Barkin,1975,,,F,[1],199x,RU:,Un,,,,,,
Mikhail Barishnikov,1979,,,M,[1],199x,R:dancer,Ru,,,,,,
Binnie Barnes,1931-1972,Barnes,Gitelle,F,1905,1983,R:light,Br,,,,,,
Jake Barnes,,,,M,[1],199x,RU:,Un,,,,,,
Joanna Barnes,1958-1970,Barnes,Joanna,F,1934,199x,R:cool,Am,,,,,,
Julian Barnes,,,,M,[1],199x,RU:,Un,,,,,,
Priscilla Barnes,,,,F,[1],199x,RU:,Un,,,,,,
Charlie Barnett,,,,M,[1],199x,RU:,Un,,,,,,
Nella Barnier,,,,F,[1],199x,RU:,Un,,,,,,
Sandy Baron,,,,,[1],199x,RU:,Un,,,,,,
Pierre Barouh,,,,M,[1,6],199x,RU:,Un,,,,,
Maria Barranco,,,,F,[1,6],199x,RU:,Un,,,,,
JeanLouis Barrault,1935-1967,Barrault,Jean-Louis,M,1910,1994,R:stage actor,Fr,,,,,,
MarieChristine Barrault,1969-1978,Barrault,Marie-Christine,F,1944,199x,RU:,Fr,,,,,,
Edith Barrett,1941-1956,Williams,Edith,F,1907,1977,R:secondary,Am,,,,,,
Judith Barrett,1936-1940,Kelly,Lucille,F,1914,199x,R:B-movie lead,Am,,,,,,
Barbara Barrie,1964-1980,Barrie,Barbara,F,,199x,R:pert,Am,,,,,,
Mona Barrie,1933-1953,Smith,Mona,F,1909,199x,R:ladylike,Au,,,,,,
Wendy Barrie,1932-1954,Jenkins,Wendy,F,1912,1978,R:lead,Br,,,,,,
Edgar Barrier,1940-1963,Barrier,Edgar,M,1906,1964,R:suave villain,Am,,,,,,
Maurice Barrier,1982,,,M,[1],199x,RU:,Fr,,,,,,
George Barris,1979,,,M,[1,6],199x,RU:,Un,,,,,
Gene Barry,1952-1979,Klass,Eugene,M,1921,199x,R:poised,Am,,,,,,
Joan Barry,1922-1934,Barry,Joan,F,1903,199x,R:lead,Br,,,,,,
Diane Barrymore,1942-1944,Barrymore Blythe,Diane Blanche,F,1921,1960,R:unhappy,Am,,,,,,
Drew Barrymore,1982-1992,Barrymore,Drew,F,1976,199x,R:determined child,Am,,,,,,
Ethel Barrymore,1914-1957,Blythe,Edith Mae,F,1879,1959,R:regal presence,Am,,,,,,
John Barrymore,1913-1942,Blythe,John,M,1882,1942,R:churlish grandpa,Am,,,,,,
John Barrymore jr.,1950-1963,Blythe Barrymore,John Drew,M,1932,199x,R:weakling,Am,,,,,,
John Barrymore III,,,,M,,199x,RU:,Un,,,,,,
Lionel Barrymore,1909-1953,Blythe,Lionel,M,1878,1954,R:churlish grandpa?,Am,,,,,,
Doris Rankin,,Rankin,Doris,[6],,,RU:,Am,,,,,,
Irine Fenwick,,Fenwick,Irene,[6],1936,,RU:,Am,,,,,,
Maurice Barrymore,,Blythe,Herbert,M,[1,6],199x,R:[stage],Am,,,,,
Georgiana Drew,,Blythe,Herbert,M,[1,6],199x,R:[stage],Am,,,,,
Paul Bartels,1976-1981,Bartels,Paul,M,1940,199x,R:wild,Am,,,,,,
Eddie Barth,1979,,,M,[1],199x,RU:,Un,,,,,,
Richard Barthelmess,1916-1942,Barthelmess,Richard,M,1895,1963,R:presentable innocent,Am,,,,,,
Freddie Bartholomew,1930-1951,Llewellyn,Frederick,M,1924,1992,R:well-bred child,Ir,,,,,,
Eve Bartok,1951-1964,Sjöke,Eva,F,1926,199x,R:agreeable,Hu,,,,,,
James Barton,1923-1961,Barton,James,M,1890,1962,R:grubby,Am,,,,,,
Richard Basehart,1947-1982,Basehart,Richard,M,1915,1984,R:thoughtful,Am,,,,,,
Tony Basil,1969,,,M,[1],199x,RU:,Un,,,,,,
Kim Basinger,1982-1989,Basinger,Kim,F,1953,1998x,R:stunning, vulnerable looking lead,Am,,,,,
Count Basie,dow,Basie,William,M,19aa,199x,R:musician,Am,,,,,,
Richard Baskin,1975-1976,Baskin,Richard,M,,199x,RU:,Un,,,,,,
Alfie Bass,1954-1967,Bass,Alfie,M,19aa,1987,R:sr,Ct,,,,,,
Lina Basquette,1916-1928,Basquette,Lena,F,1907,199x,R:dancer, rebel,Am,,,,,
Albert Basserman,1913-1948,Basserman,Albert,M,1867,1952,R:sympathetic,Ge,,,,,,
Angela Bassett,1991-1993,Bassett,Angela,F,1958,199x,R:mother,Un,,,,,,
Steve Bassett,1983,,,M,[1],199x,RU:,Un,,,,,,
Alexandra Bastedo,1963-1975,Bastedo,Alexandra,F,1946,199x,R:lead,Ca-It-Br,,,,,,
Alan Bates,1959-1983,Bates,Alan,M,1934,199x,R:thoughtful tough,Br,,,,,,
Barbara Bates,1949,,,F,[1],199x,RU:,Un,,,,,,
Florence Bates,1937-1953,Rabe,Florence,F,1888,1954,R:matron (friendly or fiendish),Am,,,,,,
Kathy Bates,1982-1990,Bates,Kathy,F,1958,199x,R:plump,Am,,,,,,
Michael Bates,1955-1977,Bates,Michael,M,1920,1978,R:stupid policeman,Br,,,,,,
Belinda Bauer,1983-1990,,,F,[1],199x,R:dancer,Am,,,,,,
Steven Bauer,1983-1986,,,M,[1],199x,RU:,Un,,,,,,
Harry Baur,1910-1942,Baur,Harry,M,1880,1943,R:celebrated,Fr,,,,,,
Barbara Baxley,1958-1979,Baxley,Barbara,F,,199x,R:gorgeous,Am,,,,,,
Alan Baxter,1935-1971,Baxter,Alan,M,1908,1976,R:colonel,Am,,,,,,
Anne Baxter,1940-1983,Baxter,Ann,F,1923,1985,R:shy innocent, cold eyed schemer,Am,,,,,
Jane Baxter,1932-1951,Forde,Feodora,F,1909,199x,R:gentle-mannered,Br,,,,,,
Warner Baxter,1914-1950,Baxter,Warner,M,1889,1951,R:distinguished,Am,,,,,,
Sarah Bay,1972,Neri,Rosalba,F,[1],199x,RU:,It,,,,,,
Nathalie Baye,1950-1982,Baye,Nathalie,F,[1],199x,RU:,Un,,,,,,
Gary Bayer,,,,M,[1],199x,RU:,Un,,,,,,
Geoffrey Bayldon,1953-1983,Bayldon,Geoffrey,M,1924,199x,R:lanky excentric,Br,,,,,,
Stephanie Beacham,1969-1980,Beacham,Stephanie,F,1949,199x,R:lead,Br,,,,,,
John Beal,1933-1983,Bliedung,Alexander,M,1909,199x,R:boyish innocence,Am,,,,,,
Jennifer Beals,,,,F,[1][1],199x,RU:,Un,,,,,,
Emanuelle Beart,1985-1991,Béart,Emanuelle,F,1965,Und,R:naive beauty,Fr,,,,,,
The Beatles,1964-1981,The Beatles,,G,1940,199x,R:pop,Br,,,,,,
Ned Beatty,1972-1983,Beatty,Ned,M,1937,199x,R:chubby,Am,,,,,,
Robert Beatty,1943-1973,Beatty,Robert,M,1909,199x,R:lead,Ca,,,,,,
Warren Beatty,1961-1978,Beaty,Warren,M,1937,199x,R:pschological maladjustment,Am,,,,,,
Louise Beavers,1929-1961,Beavers,Louise,F,1902,1962,R:happy housekeeper,Am,,,,,,
John C. Becher,,,,M,[1],199x,RU:,Un,,,,,,
Sidney Bechet,1930,Bechet,Sidney,M,1892,1959,R:clarinetist,Am,,,,,,
Jenny Beck,1976,Beck,Jennifer,F,1974,199x,R:daughter,Am,,,,,,
John Beck,1969-1981,Beck,John,M,1943,199x,R:lead,Am,,,,,,
Kimberly Beck,,,,F,[1],199x,RU:,Un,,,,,,
Michael Beck,1977-1981,Beck,Michael,M,1948,199x,R:lead,Am,,,,,,
Stanley Beck,,,,M,[1],199x,RU:,Un,,,,,,
Barry Beckerman,,,,M,[1],199x,RU:,Un,,,,,,
Scotty Beckett,1934-1956,Beckett,Scotty,M,1929,1968,R:soulful-looking,Am,,,,,,
Reginald Beckwith,1941-1965,Beckwith,Reginald,M,1908,1965,R:high voice,Br,,,,,,
Don Beddoe,1939-1969,Beddoe,Don,M,1888,1979,R:genial look,Am,,,,,,
Bonnie Bedelia,1969-1990,Bedelia,Bonnie,F,1946,199x,R:lead,Am,,,,,,
Kabir Bedi,1976-1983,Bedi,Kabir,M,1935,199x,R:lead,In,,,,,,
Alfonso Bedoya,1947-1957,Bedoya,Alfonso,M,1904,1957,R:beaming face,Me,,,,,,
Molly Bee,,,,F,[1],199x,RU:,Un,,,,,,
Noah Beery,1918-1946,Beery,Noah,M,1884,1946,R:villain,Am,,,,,,
Noah Beery jr.,1920-1982,Beery jr.,Noah,M,1913,1994,R:easy going sidekick,Am,,,,,,
Wallace Beery,1916-1949,Beery,Wallace,M,1880,1949,R:tough, ugly, slow-thinking, easy-going,Am,,,
Hagan Beggs,,,,M,[1],199x,RU:,Un,,,,,,
Ed Begley,1947-1969,Begley,Ed,M,1901,1970,R:jovial uncle,Am,,,,,,
Ed Begley jr.,1972-1979,Begley jr.,Ed,M,,199x,R:character actor,Am,,,,,,
Harry Belafonte,1953-1974,Belafonte,Harry,M,1927,199x,R:ballad singer,Am,,,,,,
Charles Belcher,,,,M,[1],199x,RU:,Un,,,,,,
Barbara BelGeddes,1947,Lewis,Barbara Geddes,F,[1]1927,199x,R:placid,Am,,,,,,
Ann Bell,1962-1980,Bell,Ann,F,,199x,R:character,Br,,,,,,
James Bell,1932-1963,Bell,James,M,1891,1973,R:character,Am,,,,,,
Marie Bell,1928-1966,Bellon-Downey,Marie-Jeanne,F,1900,1985,R:distinguished,Fr,,,,,,
Rex Bell,1930,Bell,Rex,M,[1],1962,R:cowboy,Am,,,,,,
Tom Bell,1961-1978,Bell,Tom,M,1933,199x,R:gaunt, lead,Br,,,,,
Madge Bellamy,1923-1928,Philpott,Margaret,F,1903,199x,R:general purpose,Am,,,,,,
Ralph Bellamy,1931-1983,Bellamy,Ralph,M,1904,1991,R:rich `other man',Am,,,,,,
Harry Bellaver,1940-1980,Bellaver,Harry,M,1905,199x,R:cop, small-time gangster or cabbie,Am,,,,,
Kathleen Beller,1974-1983,Beller,Kathleen,F,1955,199x,R:lead,Am,,,,,,
Agostina Belli,,,,M,[1],199x,RU:,Un,,,,,,
Olga Bellin,,,,F,[1],199x,RU:,Un,,,,,,
JeanPaul Belmondo,1958-1983,Belmondo,Jean,M,1933,199x,R:interesting but unhandsome lead,Fr,,,,,,
Belmonts,,,,,[1],199x,RU:,Un,,,,,,
Lionel Belmore,1915-1940,Belmore,Lionel,M,1867,1953,R:portly,Br,,,,,,
Richard Beltran,,,,M,[1],199x,RU:,Un,,,,,,
Robert Beltran,,,,M,[1],199x,RU:,Un,,,,,,
Jim Belushi,,,,M,[1],199x,RU:,Un,,,,,,
John Belushi,1978-1981,Belushi,John,M,1949,1982,R:overweight comic,Am,,,,,,
Richard Belzer,,,,M,[1],199x,RU:,Un,,,,,,
Pat Benatar,,,,F,[1][1],199x,R:singer,,,,,,,
Brian Benben,,,,M,[1],199x,RU:,Un,,,,,,
Robert Benchley,1933-1946,Benchley,Robert,M,1889,1945,R:lovable bumbler,Am,,,,,,
William Bendix,1942-1965,Bendix,William,M,1906,1964,R:sweet tough,Am,,,,,,
Billy Benedict,1935-1976,Benedict,Billy,M,1906,199x,R:an original `Bowery Boy', now cabby bartender,Am,,,,,
Dirk Benedict,1975-1983,Niewoehner,Dirk,M,1945,199x,R:lead,Am,,,,,,
Paul Benedict,,,,M,[1][1],199x,RU:,Un,,,,,,
Richard Benedict,1946-1960,Benedetto,Riccardo,M,1916,199x,R:heavy,Am,,,,,,
Annette Bening,1990-1991,Bening,Annette,F,,199x,R:sex kitten,Am,,,,,,
Richard Benjamin,1953-1982,Benjamin,Richard,M,1938,199x,R:diffident,Am,,,,,,
Alma Bennett,1914-1930,Bennett,Belle,F,1889,1958,R:silent vamp,Am,,,,,,
Barbara Bennett,1929-1930,Bennett,Barbara,F,1902,1958,R:silent lead,Am,,,,,,
Belle Bennett,1918-1931,Bennett,Belle,F,1891,1932,R:silent lead,Am,,,,,,
Bruce Bennett,1934-1961,Brix,Herman,M,1909,199x,R:athletic,Am,,,,,,
Constance Bennett,1922-1965,Bennett,Constance,F,1904,1965,R:worldly,Am,,,,,,
Hywel Bennett,1966-1980,Bennett,Hywel,M,1944,199x,R:innocent,Br; Welsh,,,,,,
Jill Bennett,1953-1982,Bennett,Jill,F,1944,1990,R:emancipated, unusual,Br,,,,,
Joan Bennett,1915-1978,Bennett,Joan,F,1910,1990,R:attractive,Am,,,,,,
Joe Bennett,,,,M,[1][1],199x,RU:,Un,,,,,,
John Bennett,1959-1977,Bennett,John,M,1928,199x,R:swarthy,Br,,,,,,
Marjorie Bennett,1947-1976,Bennett,Marjorie,F,1894,1982,R:bathing beauty,Am,,,,,,
Richard Bennett,1923-1943,Bennett,Richard,M,1873,1944,R:dapper,Am,,,,,,
Annette Benning,1993,Benning,Anette,F,1958,199x,R:lively,Am,,,,,,
Jack Benny,1929-1967,Kubelsky,Benjamin,M,1894,1974,R:reproachful comedian,Am,,,,,,
Martin Benson,1949-1981,Benson,Martin,M,1918,199x,R:smooth crook,Br,,,,,,
Robby Benson,1973-1982,Segal,Robert,M,1956,199x,R:cute juvenile,Am,,,,,,
Michael Bentine,1966,Bentine,Michael,M,1922,199x,R:goonish,Br-Peruvian,,,,,,
Barbi Benton,,,,F,[1],199x,R:playboy girl,,,,,,,
Susanne Benton,,,,F,[1],199x,RU:,Un,,,,,,
Iris Berben,,,,F,[1],199x,RU:,Un,,,,,,
Tom Berenger,1977-1983,Berenger,Tom,M,1950,199x,R:brooding,Am,,,,,,
Marisa Berenson,1972-1981,Berenson,Marisa,F,1946,199x,R:fashion model,Un,,,,,,
Judith-Marie Bergan,,,,F,[1],199x,RU:,Un,,,,,,
Candice Bergen,1966-1982,Bergen,Candice,F,1946,199x,R:stylish,Am,,,,,,
Polly Bergen,1950-1970,Burgin,Nellie,F,1929,199x,R:singer,Am,,,,,,
William Bergen,,,,M,[1],199x,RU:,Un,,,,,,
Helmut Berger,1969-1977,Steinberger,Helmut,M,1944,199x,R:sinister, handsome,Os,,,,,
Katya Berger,,,,F,[1],199x,RU:,Un,,,,,,
Senta Berger,1957-1977,Berger,Senta,F,1941,199x,R:lead,Os,,,,,,
Sidney Berger,,,,M,1962,199x,RU:,Un,,,,,,
William Berger,,,,M,[1],199x,RU:,Un,,,,,,
Jacques Bergerac,1957-1965,Bergerac,Jacques,M,1927,199x,R:lead,Fr,,,,,,
Herbert Berghof,1952-1980,Berghof,Herbert,M,1909,1990,R:character,Os,,,,,,
Ingrid Bergman,1934-1978,Bergman,Ingrid,F,1915,1982,R:innocent, strong beauty,Sw,,,,,
Harold Bergman,,,,M,[1],199x,RU:,Un,,,,,,
Henry Bergman,,,,M,[1],199x,RU:,Un,,,,,,
Sandahl Bergman,,,,,[1],199x,RU:,Un,,,,,,
Tracy Bergman,,,,,[1],199x,RU:,Un,,,,,,
Elisabeth Bergner,1924-1979,Ettel,Elisabeth,F,1898,1986,R:fey gamine,Ge,,,,,,
Thommy Bergren,,,,M,[1],199x,RU:,Un,,,,,,
Steven Berkoff,,,,M,[1],199x,RU:,Un,,,,,,
Milton Berle,1937-1980,Berlinger,Mendel,M,1908,199x,R:brash comic,Am,,,,,,
Irving Berlin,1943,Baline,Israel,M,1888,199x,R:singer,Am,,,,,,
Jennie Berlin,1972,Berlin,Jean,F,,199x,RU:,Am,,,,,,
Shelley Berman,1964-1970,Berman,Shelley,M,1926,199x,R:cabaret monologuist,Am,,,,,,
Susan Berman,,,,F,[1],199x,RU:,Un,,,,,,
Jason Bernhard,,,,M,[1],199x,RU:,Un,,,,,,
Sandra Bernhard,1982-1992,Bernhard,Sandra,F,[1],199x,R:elegant sexy,Am,,,,,,
Sarah Bernhardt,1923,Bernhard,Sarah,F,1844,1923,R:heroine, courtesan,Fr,,,,,
Herschel Bernardi,1937-1976,Bernardi,Herschel,M,1923,1986,R:balding, beaming cop or gangster,Am,,,,,
Sarah Bernhardt,1900-1923,Bernard,Rosalie,F,1844,1923,R:dignified,Fr,,,,,,
Elizabeth Berridge,,,,F,[1],199x,RU:,Un,,,,,,
Phillip Berrigan,,,,M,[1],199x,RU:,Un,,,,,,
Chuck Berry,,,,M,[1],199x,RU:,Un,,,,,,
Jules Berry,1934-1947,Paufichet,Jules,M,1883,1951,R:Saturnine, character,Fr,,,,,
Ken Berry,1970-1974,Berry,Ken,M,1933,199x,R:bird-like comic hero,Am,,,,,,
Michael Berryman,,,,M,[1],199x,RU:,Un,,,,,,
Marina Berti,1949-1977,Berti,Marina,F,1928,199x,R:lead,It,,,,,,
Bibi Besch,,,,F,[1],199x,RU:,Un,,,,,,
Eugenie Besserer,1912-1933,Besserer,Eugenie,F,1870,1934,R:character,Am,,,,,,
Edna Best,1921-1948,Best,Edna,F,1900,1974,R:maternal,Br,,,,,,
Willie Best,1930-1955,Best,Willie,M,1916,1962,R:goggled-eyed servant,Am,,,,,,
Barbara Bestar,,,,F,[1],199x,RU:,Un,,,,,,
Jack Beutel,,,,M,[1],199x,RU:,Un,,,,,,
Turhan Bey,dow,Bey,Turhan,M,19aa,1995+,R:romantic sheik,Ct,,,,,,
Richard Beymer,1952-1983,Beymer,Richard,M,1939,199x,R:juvenile lead,,,,,,,
Daniela Bianchi,1959-1968,Bianchi,Daniela,F,1942,199x,R:lead,,,,,,,
Charles Bickford,1929-1966,Bickford,Charles,M,1889,1967,R:rugged, projected sincerity and warmth,Am,,,,,
Michael Biehn,,,,M,[1],199x,RU:,Un,,,,,,
Ramon Bieri,,,,M,[1],199x,RU:,Un,,,,,,
Theodore Bikel,1951-1976,Bikel,Theodore,M,1924,199x,R:heavily-built, can play most nationalities,Os,,,,,
Tony Bill,1963-1980,Bill,Tony,M,1940,199x,R:light lead,Am,,,,,,
Peter Billingsley,,,,M,[1],199x,RU:,Un,,,,,,
Herman Bing,1929-1946,Bing,Herman,M,1889,1947,R:plump,explosive comedy,Ge,,,,,
Geoff Binney,,,,M,[1],199x,RU:,Un,,,,,,
Edward Binns,1951-1979,Binns,Edward,M,,199x,R:solid, character,Am,,,,,
Julliette Binoche,1987,Binoche,Julliette,F,1964,199x,R:charming lead,Fr,,,,,,
Paul Birch,1953-1967,Birch,Paul,M,1900,1969,R:burly,Am,,,,,,
Brad Bird,,,,M,[1],199x,RU:,Un,,,,,,
Norman Bird,1954-1981,Bird,Norman,M,1920,199x,R:underdog,Br,,,,,,
David Birney,1973-1982,Birney,David,M,1944,199x,R:lead,Am,,,,,,
Jennifer Bishop,,,,F,[1],199x,RU:,Un,,,,,,
Pat Bishop,,,,,[1],199x,RU:,Un,,,,,,
Julie Bishop,1933-1957,Brown,Jacqueline,F,1914,199x,R:lead,Am,,,,,,
Whit Bissell,1943-1966,Bissell,Whit,M,1919,1981,R:attorneys to garage attendant,Am,,,,,,
Jacqueline Bisset,1964-1988,Bisset,Jacqueline,F,1944,199x,R:lead,Br,,,,,,
Bonnie Bittner,,,,F,[1],199x,RU:,Un,,,,,,
Bill Bixby,1962-1983,Bixby,Bill,M,1934,1993,R:diffident light lead,Am,,,,,,
Gunnar Bjornstrand,1952-1982,Gunnar Björnstrand,Gunnar,M,19aa,1986,R:lead,Sw,,,,,,
Karen Black,1967-1983,Ziegeler,Karen,F,1942,199x,R:lead,Am,,,,,,
Honor Blackman,1947-1978,Blackman,Honor,F,1926,199x,R:`charm school' product, `English rose', later kinky and judo,Br,,,,
Joan Blackman,1961-1966,Blackman,Joan,F,1938,199x,R:lead,Am,,,,,,
Sidney Blackmer,1929-1968,Blackmer,Sidney,M,1895,1973,R:suave,Am,,,,,,
Ruben Blades,1988-1991,Blades,,Ruben M,1948,199x,R:singer,Pa  namanian,,,,,,
Gerard Blain,1954-1980,Blain,Gerard,M,1930,199x,R:equiv.of James Dean,Fr,,,,,,
Vivian Blaine,1942-1983,Stapleton,Vivienne,F,1921,199x,R:vivacious,Am,,,,,,
Betsy Blair,1947-1973,Boger,Elizabeth,F,1923,199x,R:shy and nervous,Am,,,,,,
Janet Blair,1941-1972,Lafferty,Martha,F,1921,199x,R:vivacious,Am,,,,,,
Linda Blair,1974-1981,Blair,Linda,F,1959,199x,R:possessed child,Am,,,,,,
Amanda Blake,1956,Blake,Amanda,F,,1989,R:wife,Ct,,,,,,
Jon Blake,,,,M,[1],199x,RU:,Un,,,,,,
Mary Blake,,McDonald,Blossom,F,1896,1978,R: best friend,Am,,,,,,
Robert Blake,1943-1983,Gubitosi,Michael (Bobby),M,1933,199x,R:unusual roles,Am,,,,,,
Whitney Blake,1959,Blake,Whitney,F,19aa,199x,R:sr,Ct,,,,,,
Colin Blakely,1960-1983,Blakely,Colin,M,1930,1987,R:stocky,Br,,,,,,
Susan Blakely,1972-1980,Blakely,Susan,F,1950,199x,R:lead,Am,,,,,,
Ronee Blakley,1975-1981,Blakley,Ronee,F,1946,199x,R:pop singer,Am,,,,,,
Michel Blanc,1990,Blanc,Michel,M,[1],199x,RU:,Fr,,,,,,
Pierre Blanchar,1923-1958,Blanchar,Pierre,M,1892,1963,R:distinguished,Fr,,,,,,
Alan Blanchard,,,,M,[1],199x,RU:,Un,,,,,,
Mari Blanchard,1950-1964,Blanchard,Mary,F,1927,1970,R:decorative,Am,,,,,,
Pierre Blanchard,,,,M,,199x,RU:,Un,,,,,,
Clara Blandick,1930-1950,Blandick,Clara,F,1880,1962,R:sensible, no-nonsense,Am,,,,,
Sally Blane,1927-1949,Jung,Elizabeth,F,1910,199x,R:lead,Am,,,,,,
Mark Blankfield,,,,M,[1],199x,RU:,Un,,,,,,
Roger Blay,,,,M,[1],199x,RU:,Un,,,,,,
Debra Blee,,,,F,[1],199x,RU:,Un,,,,,,
Brian Blessed,1970-1983,Blessed,Brian,M,1937,199x,R:massive,Br,,,,,,
Bernard Blier,1937-1982,Blier,Bernard,M,1916,1989,R:plump and bald,Ar-Fr,,,,,,
Dan Blocker,1963-1972,Blocker,Dan,M,1928,1972,R:heavyweight,Am,,,,,,
Michael Blodgett,,,,M,[1],199x,RU:,Un,,,,,,
Joan Blondell,1930-1979,Blondell,Joan,F,1909,1979,R:blonde dame,Am,,,,,,
Claire Bloom,1948-1981,Bloom,Claire,F,1931,199x,R:lead,Br,,,,,,
Verna Bloom,1969-1980,Bloom,Verna,F,,199x,R:lead,Am,,,,,,
Eric Blore,1920-1954,Blore,Eric,M,1887,1959,R:unctuous or insulting butlers, eccentric types,Br,,,,,
Monte Blue,1916-1954,Blue,Monte,M,1890,1963,R:burly hero,Am,,,,,,
Ann Blyth,1944-1957,Blyth,Ann,F,1928,199x,R:diminutive,Am,,,,,,
Betty Blythe,1920-1964,Slaughter,Elizabeth Blythe,F,1893,1972,R:lead,Am,,,,,,
John Blythe,1944-1969,Blythe,John,M,1921,199x,R:spiv types,Br,,,,,,
Eleanor Boardman,1922-1934,Boardman,Eleanor,F,1898,199x,R:sympathetic,Am,,,,,,
Hart Bochner,,,,M,[1],199x,RU:,Un,,,,,,
Lloyd Bochner,1963-1981,Bochner,Lloyd,M,1924,199x,R:lead,Ca,,,,,,
Carl Boehm,1952-1974,Boehm,Karlheinz,M,1928,199x,R:blond, handsome,Ge,,,,,
Paul Boensh III,,,,M,[1],199x,RU:,Un,,,,,,
Dirk Bogarde,1947-1981,Van Den Bogaerd,Derek,M,1921,1999,R:character,Br,,,,,,
Humphrey Bogart,1930-1956,Bogart,FN{Humphrey DeForest,M,1899,1957,R:tough,Am,,,,,,
Roman Bohnen,1937-1948,Bohnen,Roman,M,1894,1949,R:hard-working immigrant type,Am,,,,,,
Richard Bohringer,1990,,,M,[1],199x,RU:,Un,,,,,,
Curt Bois,1937-1954,Bois,Curt,M,1900,199x,R:head waiters and pompous clerks,Ge,,,,,,
Mary Boland,1916-1950,Boland,Mary,F,1880,1965,R:fluttery matrons,Am,,,,,,
Ray Bolger,1936-1984,Bolger,Ray,M,1904,1987,R:rubber-legged eccentric dancer,Am,,,,,,
Tiffany Bolling,1977-1977,Bolling,Tiffany,F,,199x,R:lead,Am,,,,,,
Joseph Bologna,1971-1979,Bologna,Joseph,M,1938,199x,RU:,Am,,,,,,
Fortunio Bonanova,1932-1969,Bonanova,Fortunio,M,1893,1969,R:impresario,Sp,,,,,,
Derek Bond,1946-1971,Bond,Derek,M,1919,199x,R:lead,Br,,,,,,
Lillian Bond,1931-1955,Bond,Lillian,F,1910,199x,R:lead,Br,,,,,,
Sudie Bond,,,,F,[1],199x,RU:,Un,,,,,,
Ward Bond,1930-1960,Bond,Ward,M,1903,1960,R:burly,Am,,,,,,
Natalya Bondartchuk,,,,F,[1],199x,RU:,Un,,,,,,
Sergei Bondartchuk,1948-1982,Bondartchuk,Sergei,M,1920,199x,RU:,Ru,,,,,,
Beulah Bondi,1931-1971,Bondy,Beulah,F,1889,1981,R:old lady,Am,,,,,,
Peter Bonerz,,,,M,[1],199x,RU:,Un,,,,,,
Sandrine Bonnaire,1983-1990,Bonnaire,Sandrine,F,1967,199x,R:quiet beauty,Fr,,,,,,
Beverly Bonner,,,,F,[1],199x,RU:,Un,,,,,,
Valérie Bonnier,,,,F,[1],199x,RU:,Un,,,,,,
Sonny Bono,,Bono,Salvatore,M,1940,1998,R:comedian,Un,,,,,,
Bonzo,1951-1952,Bonzo,,A,,,R:chimpanzee,,,,,,,
Pat Boone,1957-1970,Boone,Pat,M,1934,199x,R:gentle-mannered,Am,,,,,,
